53,And gross profit increased 23.8% while cost saving from the ongoing platform integration led cost of goods sold to 0.5% point decrease.,12,2,1391148,2,162,1,40,135,,,,,,,
54,The proportion of cost of goods sold in sales revenue was 77.2%.,12,2,1391148,2,297,2,41,64,,,,,,,
55,The proportion of SG&A in sales revenue was 13.4% which increased by 45.6% compared to last year.,13,2,1391148,2,0,0,42,97,,,,,,,
56,"Operating profit margin proportion was 10%, which was increased by 1.6% point against last year.",13,2,1391148,2,97,1,43,96,,,,,,,
57,"And with non-controlling interest, the recurring profit and net profit increased by 54.9% and 46.5% respectively.",13,2,1391148,2,193,2,44,113,,,,,,,
58,And it was benefited from increase in equity income.,13,2,1391148,2,306,3,45,52,,,,,,,
59,"If you move on to our next page, it's the financial results by business division.",14,2,1391148,2,0,0,46,81,,,,,,,
60,"The Automotive division revenue was KRW15.5 trillion, which was up KRW3.3 trillion from last year's first quarter.",14,2,1391148,2,81,1,47,114,,,,,,,
61,And the proportion in total revenue was 85.2%.,14,2,1391148,2,195,2,48,46,,,,,,,
62,"The revenue in Finance sector is also increased by KRW208 billion and the revenue in rest of the Other sectors are – I mean, in rest of the Other divisions are, decreased by KRW27 billion.",14,2,1391148,2,241,3,49,190,,,,,,,
63,"And as a result, the total sales revenue increased by KRW3.2 trillion to total KRW18.2 trillion.",14,2,1391148,2,431,4,50,96,,,,,,,
64,The operating profit of Automotive before consolidation adjustment was increased by KRW608 billion and recorded KRW1.5 trillion.,15,2,1391148,2,0,0,51,128,,,,,,,
65,Finance and Other divisions recorded KRW325 billion and KRW27 billion respectively.,15,2,1391148,2,128,1,52,83,,,,,,,
66,And total operating profit after applying consolidation adjustment is resulted KRW1.8 trillion which was up KRW572 billion from last year.,15,2,1391148,2,211,2,53,138,,,,,,,
67,Please turn to the next page.,15,2,1391148,2,349,3,54,29,,,,,,,
68,The stated consolidated balance sheet on the K-IFRS.,16,2,1391148,2,0,0,55,52,,,,,,,
69,Cash and cash equivalents increased by KRW2 trillion and accounted KRW15.6 trillion.,16,2,1391148,2,52,1,56,84,,,,,,,
70,The short and long-term debt increased KRW635 billion resulting in net cash up KRW23.6 trillion.,16,2,1391148,2,136,2,57,96,,,,,,,
71,And the current ratio and debt/equity ratio was 148.3% and 113.7% respectively.,16,2,1391148,2,232,3,58,79,,,,,,,
72,"And on the next page, it's the consolidated cash flow highlight.",17,2,1391148,2,0,0,59,64,,,,,,,
73,"With the increase in net income from strong sales performance and the cash flow from depreciation and amortization, KRW2.97 trillion was increased in cash flow.",17,2,1391148,2,64,1,60,160,,,,,,,
74,While increase in tangible and intangible asset and dividend payment decreased the cash flow by KRW826 billion.,17,2,1391148,2,224,2,61,111,,,,,,,
75,"However, the ending cash balance was increased by KRW2.14 trillion to a total of KRW8.36 trillion.",17,2,1391148,2,335,3,62,98,,,,,,,
76,"And in the next part, I'm going to explain about the revenue and the profit analysis.",18,2,1391148,2,0,0,63,85,,,,,,,
77,"So please move on to our Page 14, the sales revenue analysis.",18,2,1391148,2,85,1,64,61,,,,,,,
78,The revenue for this quarter is increased by 21.4% and recorded KRW18.2 trillion.,18,2,1391148,2,146,2,65,81,,,,,,,
79,Even with some negative factors such as strong won against the U.S.,18,2,1391148,2,227,3,66,67,,,,,,,
80,"dollar and euro, the revenue is still increased by KRW3.3 trillion which was supported by strong sales volume and improvement in product mix.",18,2,1391148,2,294,4,67,141,,,,,,,
81,Revenues of finance and other divisions increased by KRW181 billion and reported KRW2.69 trillion.,18,2,1391148,2,435,5,68,98,,,,,,,
82,It was mostly influenced by gross of retail financing.,18,2,1391148,2,533,6,69,54,,,,,,,
83,"And in the next page, despite of a high raw material cost, the cost of goods sold as a percentage of total revenue decreased to 77.2% as a result of cost in savings from platform integration.",19,2,1391148,2,0,0,70,191,,,,,,,
84,"And SG&A increased by 18 – I'm sorry, 10.8% to KRW2.3 trillion.",19,2,1391148,2,191,1,71,65,,,,,,,
85,"The proportion of SG&A cost in total revenue was 13.4%, down by 1% from last year.",19,2,1391148,2,256,2,72,82,,,,,,,
86,"The marketing expense was reduced by 0.6% as improvements in brand recognition and product strength of new models, which also ",19,2,1391148,2,338,3,73,126,,,,,,,
87,The warranty provision increased to 1.6% due to the larger number of units in operation from strong sales.,20,2,1391148,2,0,0,74,106,,,,,,,
88,"So let's move on to the next page, which is the last page of this presentation.",21,2,1391148,2,0,0,75,79,,,,,,,
89,"The net non-operating income amounted to KRW637 billion, an increase of approximately KRW302 billion and which was mostly supported by equity earnings.",21,2,1391148,2,79,1,76,151,,,,,,,
90,Okay.,22,2,1391148,2,0,0,77,5,,,,,,,
91,"So this was the end of the presentation, and if you want to go ahead and ask some questions.",22,2,1391148,2,5,1,78,92,,,,,,,
92,Hello.,23,3,1391148,1,0,0,0,6,,,,,,,
93,This is SY.,23,3,1391148,1,6,1,1,11,,,,,,,
94,The question and answer session will be conducted electronically. ,23,3,1391148,1,17,2,2,66,,,,,,,
95,"
            ",24,4,1391148,0,0,0,0,13,,,,,,,
96,"Hi, guys.",25,5,1391148,,0,0,0,9,,,,,,,
97,Good – great quarter.,25,5,1391148,,9,1,1,23,,,,,,,
98,Good numbers.,25,5,1391148,,32,2,2,13,,,,,,,
99,I had a question on the Brazil operations and just what the 30% or 35% import tariff means.,25,5,1391148,,45,3,3,91,,,,,,,
100,Is that as big of a headwind as it sounds right now on your current sales there?,25,5,1391148,,136,4,4,80,,,,,,,
101,And how big of an impact will be having that factory there in Brazil?,25,5,1391148,,216,5,5,69,,,,,,,
102,Hello?,26,5,1391148,,0,0,6,6,,,,,,,
103,"Sorry, just give us one minute, please.",27,6,1391148,,0,0,0,39,,,,,,,
104,Okay.,28,7,1391148,,0,0,0,5,,,,,,,
105,Yes.,28,7,1391148,,5,1,1,4,,,,,,,
106,Hello?,29,8,1391148,,0,0,0,6,,,,,,,
107,Yes.,30,9,1391148,,0,0,0,4,,,,,,,
108,"Hi, there.",31,10,1391148,,0,0,0,10,,,,,,,
109,"Yes, the Brazil is a country on the emerging market.",31,10,1391148,,10,1,1,52,,,,,,,
110,It means they – usually in the emerging market they have the high tariff for the imported vehicle to secure to their market.,31,10,1391148,,62,2,2,126,,,,,,,
111,"So that's the reason why that we started to make a factory in Brazil to come into the – especially the C segment, that's very sensitive for the price.",31,10,1391148,,188,3,3,152,,,,,,,
112,Usually right now our sales in the Brazil is some SUV or the SUV or the largest sedan because that segment is not sensitive for the price.,31,10,1391148,,340,4,4,138,,,,,,,
113,So that our market share in Brazil is around 3%.,31,10,1391148,,478,5,5,48,,,,,,,
114,"So that sort of we started to produce from the Brazil, we expect that we can come into that high pressure market like the C segment market.",31,10,1391148,,526,6,6,139,,,,,,,
115,And then we expect we can increase into our the sales and market share in Brazil.,31,10,1391148,,665,7,7,81,,,,,,,
116,Got it.,32,11,1391148,,0,0,0,7,,,,,,,
117,So almost none of your sales today are in the C segment.,32,11,1391148,,7,1,1,56,,,,,,,
118,They're all in the higher segments?,32,11,1391148,,63,2,2,35,,,,,,,
119,"Well, that, are not at all, but we saw just a small amount of vehicle at that segment.",33,12,1391148,,0,0,0,86,,,,,,,
120,Okay.,34,13,1391148,,0,0,0,5,,,,,,,
121,And is there any figures or numbers you can put behind this?,34,13,1391148,,5,1,1,60,,,,,,,
122,"What does it do for your profitability to switch from importing in a scenario like that with such high tariffs, as far as margin improvement or is there any sort of calculations you've done on that?",34,13,1391148,,65,2,2,198,,,,,,,
123,"Sorry, this is the too early to the estimate that some of the profitability or some of the thing for that Brazil market.",35,14,1391148,,0,0,0,120,,,,,,,
124,Brazil is one of the growing markets.,35,14,1391148,,120,1,1,37,,,,,,,
125,So we are focusing more like kind of quantities than the qualities on this market.,35,14,1391148,,157,2,2,82,,,,,,,
126,"So by having the local production we can – we can expand our sales, the market presence in the Brazilian market.",35,14,1391148,,239,3,3,114,,,,,,,
127,Okay.,36,15,1391148,,0,0,0,5,,,,,,,
128,"For the profit side, we have to know after the factories are running.",37,16,1391148,,0,0,0,69,,,,,,,
129,"And do you any figures for Russia which is further along, than Brazil then on – I'm just trying to get a sense of what it means when you're largely importing and then shifting to local production, what sort of effect that has on your profits.",38,17,1391148,,0,0,0,244,,,,,,,
130,"Well, for the first year of the local production, usually we have a lot of the depreciation which impacts the loss and the profit side.",39,18,1391148,,0,0,0,135,,,,,,,
131,Thank you.,39,18,1391148,,135,1,1,10,,,,,,,
132,"It's also 24, talk about the profitability in Russian plant.",39,18,1391148,,145,2,2,60,,,,,,,
133,Okay.,40,19,1391148,,0,0,0,5,,,,,,,
134,Fair enough.,40,19,1391148,,5,1,1,12,,,,,,,
135,That's all I had.,40,19,1391148,,17,2,2,17,,,,,,,
136,"In case of Czech plants, it's been running for over one and half years and they are generating profits.",41,20,1391148,,0,0,0,103,,,,,,,
137,Okay.,42,21,1391148,,0,0,0,5,,,,,,,
138,Thank you.,42,21,1391148,,5,1,1,10,,,,,,,
139,We'll take our next question from ,43,22,1391148,0,0,0,0,34,,,,,,,
140,"Hello, gentlemen.",44,23,1391148,,0,0,0,17,,,,,,,
141,Just a quick question.,44,23,1391148,,17,1,1,22,,,,,,,
142,"Are you going to release a report in conjunction with this presentation and are you going to split Alto, Cinco or give us a little more splits and geography on Hyundai, Kia and so forth?",44,23,1391148,,39,2,2,186,,,,,,,
143,Our official report will be announced one and a half months after.,45,24,1391148,,0,0,0,66,,,,,,,
144,That's the period – I mean that will be in the middle of the May.,45,24,1391148,,66,1,1,67,,,,,,,
145,"But unfortunately, we are not including the geographic figures at that report.",45,24,1391148,,133,2,2,78,,,,,,,
146,"Are you splitting Cinco – I mean the financial operations versus your industrial operations, given the disclosure and the debt in cash on each?",46,25,1391148,,0,0,0,145,,,,,,,
147,I don't think so.,47,26,1391148,,0,0,0,17,,,,,,,
148,You have all the information.,47,26,1391148,,17,1,1,29,,,,,,,
149,The dividend profitability will be limited to the level that we announced on our debt presentation.,47,26,1391148,,46,2,2,99,,,,,,,
150,"So as far as detail, whatever we see here is what's going to be pretty much together with some commentary, correct?",48,27,1391148,,0,0,0,115,,,,,,,
151,"For the division information, yes.",49,28,1391148,,0,0,0,34,,,,,,,
152,Okay.,50,29,1391148,,0,0,0,5,,,,,,,
153,Thank you.,50,29,1391148,,5,1,1,10,,,,,,,
154,We'll take our next question from ,51,30,1391148,0,0,0,0,34,,,,,,,
155,Thank you for the call.,52,31,1391148,,0,0,0,23,,,,,,,
156,I have just two quick questions.,52,31,1391148,,23,1,1,32,,,,,,,
157,"One is – saw that production fell in India, why is that?",52,31,1391148,,55,2,2,58,,,,,,,
158,And the second is on the balance sheet.,52,31,1391148,,113,3,3,39,,,,,,,
159,"What I see is that the equity base that's reported currently is KRW32.8 trillion, but if I'm not wrong, in 2010, you reported KRW27.3 trillion as the equity base.",52,31,1391148,,152,4,4,162,,,,,,,
160,"So during the restatement, I just want to understand, what is the big change in the restatement?",52,31,1391148,,314,5,5,96,,,,,,,
161,Thank you.,52,31,1391148,,410,6,6,10,,,,,,,
162,"For the India market, the production decrease is caused by the re – the production line was adjustment we have done in January.",53,32,1391148,,0,0,0,129,,,,,,,
163,So that is the reason that this year's production numbers are lower than the last year's.,53,32,1391148,,129,1,1,89,,,,,,,
164,Okay.,54,33,1391148,,0,0,0,5,,,,,,,
165,And your second question was on the equity side?,55,34,1391148,,0,0,0,48,,,,,,,
166,Yes.,56,35,1391148,,0,0,0,4,,,,,,,
167,"Equity, the restated for 2010, equity base?",56,35,1391148,,4,1,1,43,,,,,,,
168,Would you hold on a second?,57,36,1391148,,0,0,0,27,,,,,,,
169,Sure.,58,37,1391148,,0,0,0,5,,,,,,,
170,Yes.,59,38,1391148,,0,0,0,4,,,,,,,
171,"By having – adopting the IFRS, we did the devaluation of the real estate we have, so that's impacted about KRW2.4 trillion, which applied on the device that we have under IFRS.",59,38,1391148,,4,1,1,178,,,,,,,
172,Okay.,60,39,1391148,,0,0,0,5,,,,,,,
173,Thank you.,60,39,1391148,,5,1,1,10,,,,,,,
174,There are no more questions in the queue.,61,40,1391148,0,0,0,0,41,,,,,,,
175,Mr.,61,40,1391148,0,41,1,1,3,,,,,,,
176,"Chung, please proceed.",61,40,1391148,0,44,2,2,22,,,,,,,
