"base";"openSameDay";"CloseSameDay";"OpenNextDay";"NextWeekAvg";"change";;;;;
100;99.585735743;97.1607151509;97.1607151509;96.6410678812;0;;;;;
100;100.491918482;98.2917995567;98.2917995567;97.6476205921;0;;;;;
100;101.785573946;98.3621760111;98.3621760111;96.5265661757;0;;;;;
100;98.3003139547;98.6611814803;98.6611814803;101.151167406;0;;;;;
100;98.8773816112;98.7034548186;98.7034548186;94.0799009144;0;;;;;
100;97.1578142181;99.2745135536;99.2745135536;102.142794537;0;;;;;
100;100.26441946;99.3185287099;99.3185287099;100.571833953;0;;;;;
100;90.984706198;99.3292192112;99.3292192112;105.764242912;0;;;;;
100;98.9079677011;99.8175892597;99.8175892597;102.327966404;0;;;;;
100;99.8177884068;99.8557491554;99.8557491554;100.643434689;0;;;;;
100;97.9055698034;100.003287959;100.003287959;101.841805309;0;;;;;
100;98.8816951148;100.058858152;100.058858152;101.938640377;0;;;;;
100;100.334772694;100.228033574;100.228033574;100.468196594;0;;;;;
100;100.150579403;100.294611876;100.294611876;99.9185270861;0;;;;;
100;99.1255478887;100.390574144;100.390574144;101.926109158;0;;;;;
100;102.661253947;100.631483987;100.631483987;97.8912945422;0;;;;;
100;99.4647667659;100.751453282;100.751453282;101.303818706;0;;;;;
100;101.562210844;100.934550614;100.934550614;100.349299858;0;;;;;
100;101.767931073;101.376300772;101.376300772;100.43638805;0;;;;;
100;100.56506264;101.811820065;101.811820065;101.795062572;0;;;;;
100;101.511554527;102.052468672;102.052468672;104.252186195;0;;;;;
100;99.9231053604;102.053974122;102.053974122;100.36771411;0;;;;;
100;100.134941204;102.184762354;102.184762354;101.446512591;0;;;;;
100;105.603319329;102.827673218;102.827673218;98.9193536499;0;;;;;
100;101.093454408;103.465758608;103.465758608;102.841468029;0;;;;;
100;96.5930792147;103.773584906;103.773584906;103.055534337;0;;;;;
100;102.852285606;103.839251983;103.839251983;101.787400831;0;;;;;
100;99.7890495551;99.4999963503;99.5065657414;99.6116759976;0.0065693911;;;;;
100;98.1963421508;100.719130824;100.729820606;99.9352134393;0.010689782;;;;;
100;102.399766988;102.99875896;102.984828914;102.181529603;0.013930046;;;;;
100;98.6937237206;98.7360270741;98.7219259563;98.8441356442;0.0141011178;;;;;
100;101.387139179;99.669989593;99.6850523087;97.4356867685;0.0150627157;;;;;
100;101.164394055;101.103110158;101.087789183;99.6476175885;0.015320975;;;;;
100;98.3135005565;98.5489256057;98.5332306024;99.393839949;0.0156950033;;;;;
100;101.691737456;100.184605622;100.200470167;100.472811534;0.015864545;;;;;
100;100.686047381;99.2885434571;99.2721022345;100.510674339;0.0164412226;;;;;
100;101.317895894;101.566921622;101.54913407;98.1665346076;0.017787552;;;;;
100;99.0730277562;101.015255315;100.995833039;101.779198154;0.019422276;;;;;
100;100.470302365;100.146969489;100.125413964;100.782857479;0.021555525;;;;;
100;98.9624883745;102.099824326;102.122558644;101.194240639;0.022734318;;;;;
100;101.203672536;97.8259607907;97.802746277;97.459171474;0.0232145137;;;;;
100;101.415607985;98.8951905626;98.8702359347;99.3568511797;0.0249546279;;;;;
100;99.076696095;97.637008305;97.6108321633;101.572154931;0.0261761417;;;;;
100;98.4595837367;100.922071636;100.948693127;99.6952646015;0.026621491;;;;;
100;101.390277812;100.907339203;100.934169126;100.978885664;0.026829923;;;;;
100;101.335476691;99.2679609249;99.2407567701;98.3520877128;0.0272041548;;;;;
100;104.073455324;102.120911535;102.092197656;99.5294839333;0.028713879;;;;;
100;101.190163072;100.669384534;100.698316675;99.7676661406;0.028932141;;;;;
100;97.2202000593;100.186038987;100.215697377;102.299199223;0.02965839;;;;;
100;98.290102297;100.902858377;100.873167967;102.090474777;0.02969041;;;;;
100;100.670179078;100.670179078;100.640150688;100.089630196;0.03002839;;;;;
100;99.2859097127;99.0150478796;98.9849521204;99.4113087095;0.0300957592;;;;;
100;101.862884835;100.922177879;100.890820981;100.245391486;0.031356898;;;;;
100;98.9858131082;97.6638527377;97.6316098019;98.7681732911;0.0322429358;;;;;
100;98.6979848207;98.5017011254;98.5344150746;100.993413592;0.0327139492;;;;;
100;101.525915858;102.749119664;102.783097547;102.313070159;0.033977883;;;;;
100;99.359836118;99.7823442801;99.7471352666;99.8468941382;0.0352090135;;;;;
100;100.815639334;99.0487182386;99.0844136142;97.961000819;0.0356953756;;;;;
100;103.509476927;100.820440694;100.783604581;100.666956891;0.036836113;;;;;
100;99.4533686576;100.652268688;100.689157919;99.972892004;0.036889231;;;;;
100;99.7339441051;102.940496021;102.978669258;103.349797952;0.038173237;;;;;
100;99.9522308207;99.9713384924;100.009553836;98.8089551288;0.0382153436;;;;;
100;100.327562827;101.567370516;101.606114506;98.1934146957;0.03874399;;;;;
100;101.783590963;102.893380896;102.93301625;102.028008984;0.039635354;;;;;
100;99.7130924278;99.593244961;99.6331941166;99.9194963985;0.0399491556;;;;;
100;101.326032704;99.8783228418;99.8373499212;98.123316075;0.0409729206;;;;;
100;100.581985782;100.395802411;100.438767805;99.5985556684;0.042965394;;;;;
100;98.5113150485;100.963343414;100.920325373;101.890621198;0.043018041;;;;;
100;99.4689592416;103.726792432;103.681973136;103.896109776;0.044819296;;;;;
100;99.9904459033;99.23976688;99.2848076214;99.2122419825;0.0450407414;;;;;
100;99.6011579956;99.1429583038;99.0971383347;97.8848183169;0.0458199691;;;;;
100;100.747301412;101.093274287;101.139404004;100.424393394;0.046129717;;;;;
100;98.5497678777;98.1281144853;98.0812641084;100.935232903;0.0468503769;;;;;
100;98.7495539219;99.3776318607;99.4247377061;100.102538482;0.0471058454;;;;;
100;99.7225554889;102.762661753;102.809795184;102.695889394;0.047133431;;;;;
100;101.56305037;98.9961253963;98.9476928496;99.6741810497;0.0484325467;;;;;
100;99.6414324773;100.57819013;100.528887096;101.51905637;0.049303034;;;;;
100;101.999191338;103.92650164;103.877083427;101.697191149;0.049418213;;;;;
100;99.0018162441;99.6292460335;99.6787799643;100.944647083;0.0495339308;;;;;
100;98.0912044558;100.75887677;100.809932699;100.356811325;0.051055929;;;;;
100;100.057935453;100.262413523;100.211294005;101.503481807;0.051119518;;;;;
100;98.9488787;99.8409282306;99.8923926266;98.9117099695;0.051464396;;;;;
100;100.913579658;100.12642225;100.178899411;99.3873689065;0.052477161;;;;;
100;105.442021017;101.822152981;101.768695015;98.5688538612;0.053457966;;;;;
100;104.615384615;105.566433566;105.51048951;101.93006993;0.055944056;;;;;
100;99.618902439;100.076219512;100.019054878;100.479547764;0.057164634;;;;;
100;97.7894233971;98.5711597203;98.513253326;98.5084277931;0.0579063943;;;;;
100;100.456999968;100.48071223;100.421431574;102.371765162;0.059280656;;;;;
100;102.248042435;100.898495291;100.958034136;100.342799408;0.059538845;;;;;
100;101.865583268;100.903641895;100.84352056;99.1768235287;0.060121335;;;;;
100;97.8753657269;98.6574061415;98.5972491865;99.1988187362;0.060156955;;;;;
100;101.157576097;100.140142385;100.201805034;99.6879496235;0.061662649;;;;;
100;102.512260174;100.834552181;100.770024951;99.9598497232;0.06452723;;;;;
100;101.127089001;100.6477523;100.58297707;100.023750918;0.06477523;;;;;
100;99.8200463977;100.448799948;100.383756477;101.026964132;0.065043471;;;;;
100;101.966292135;100.274985216;100.340035482;100.665286813;0.065050266;;;;;
100;101.321376607;103.967099207;104.032425691;99.9604081915;0.065326484;;;;;
100;101.823617931;103.740297798;103.674956439;100.502270447;0.065341359;;;;;
100;99.3989224831;99.7748472178;99.8411868768;100.040205854;0.066339659;;;;;
100;99.1685289203;99.722171891;99.6557347346;100.678128754;0.0664371564;;;;;
100;98.9873331595;99.8718573875;99.8038170622;101.19864373;0.0680403253;;;;;
100;100.299021949;97.1582532134;97.0897273501;97.1563497172;0.0685258633;;;;;
100;97.8575135295;99.8612626161;99.93116084;101.338833406;0.0698982239;;;;;
100;100.873979821;99.9078893816;99.8371998372;99.6447671886;0.0706895444;;;;;
100;98.4263165379;97.7390150258;97.8101151823;99.3032184671;0.0711001565;;;;;
100;94.039971449;98.2869379015;98.3583154889;99.3159647871;0.0713775874;;;;;
100;99.3869508101;102.963071085;103.036053131;103.223373717;0.072982046;;;;;
100;99.2981695729;100.325075851;100.398426299;102.58060214;0.073350448;;;;;
100;93.9646893699;100.428455345;100.354583733;105.353229421;0.073871612;;;;;
100;99.7309282974;99.5316159251;99.4568737854;97.653096816;0.0747421397;;;;;
100;104.617725501;106.347876633;106.423100595;98.728316123;0.075223962;;;;;
100;97.4819143016;97.902754591;97.9792710072;103.718002226;0.0765164162;;;;;
100;98.5547643587;99.8688278834;99.9461257378;99.6025797183;0.0772978544;;;;;
100;96.6996840577;101.333504113;101.4117781;101.236966195;0.078273987;;;;;
100;99.736567068;99.3428493708;99.4215929102;100.211653089;0.0787435394;;;;;
100;100.625800372;100.86500592;100.944741102;102.969128792;0.079735182;;;;;
100;96.7692821865;99.6286531249;99.7103494374;101.228539245;0.0816963125;;;;;
100;101.594700687;100.768727511;100.850507033;100.68149602;0.081779522;;;;;
100;102.774980418;98.7952705979;98.8773264705;100.484253975;0.0820558726;;;;;
100;100.963086785;97.8422561995;97.7579094269;98.4917263484;0.0843467726;;;;;
100;99.9662548022;101.279721732;101.194060845;100.542086318;0.085660887;;;;;
100;100.514800515;98.9703989704;99.0561990562;100.836550837;0.0858000858;;;;;
100;99.7009319794;102.135206566;102.222144944;101.491862568;0.086938378;;;;;
100;100.766871166;100.350569676;100.438212095;97.8710195735;0.087642419;;;;;
100;96.4575555916;97.7073527025;97.7966239247;100.192068387;0.0892712222;;;;;
100;102.345624602;101.340123729;101.250346865;101.040867517;0.089776864;;;;;
100;100.584393262;99.6120414477;99.5220088723;100.497361773;0.0900325754;;;;;
100;100.948509485;99.9322493225;100.022583559;99.8212134899;0.0903342365;;;;;
100;97.687758932;96.5192450692;96.4283606577;97.6617919573;0.0908844115;;;;;
100;99.6044962531;98.2764363031;98.1848459617;99.6884540661;0.0915903414;;;;;
100;102.387463189;98.5464871687;98.4539335297;98.8974197167;0.092553639;;;;;
100;101.778656126;101.219330301;101.12610933;98.5755835633;0.093220971;;;;;
100;102.769675172;100.48002039;100.573475687;98.6446621921;0.093455297;;;;;
100;100.475773131;98.2221109303;98.316013522;98.4333917616;0.0939025917;;;;;
100;100.198256601;99.0653617396;99.1597696447;99.6947477735;0.0944079051;;;;;
100;102.116879213;102.447507407;102.353042209;98.6216668814;0.094465198;;;;;
100;101.390400367;101.595165817;101.500658686;100.807606392;0.094507131;;;;;
100;99.415624143;98.6371595536;98.5422248476;99.1213265543;0.094934706;;;;;
100;100.836628202;99.0642158625;99.15965345;99.873163033;0.0954375875;;;;;
100;101.532083895;99.746343726;99.6506790741;97.9473167998;0.0956646519;;;;;
100;101.092339062;98.8814448005;98.9775706379;100.563646956;0.0961258374;;;;;
100;100.500088177;100.610938956;100.513944524;100.017425407;0.096994432;;;;;
100;101.483662055;101.904621725;102.001766264;98.8661564125;0.097144539;;;;;
100;99.546921733;100.165832568;100.263555332;101.772829123;0.097722764;;;;;
100;99.8136237392;97.7835842713;97.6830872679;102.681138235;0.1004970034;;;;;
100;97.8966027668;101.7963853;101.896895159;100.771184737;0.100509859;;;;;
100;98.7744382842;101.138021593;101.03589145;101.086956522;0.102130143;;;;;
100;99.0396568871;99.7404898061;99.843050721;101.44414056;0.1025609149;;;;;
100;99.9268926676;100.82042673;100.924672371;100.929636449;0.104245641;;;;;
100;99.5949487729;99.044555635;99.1493924232;98.4155349059;0.1048367882;;;;;
100;101.347683071;98.9588988599;99.0642863986;96.1427096307;0.1053875387;;;;;
100;102.045755219;102.471685328;102.578167855;99.3422821679;0.106482527;;;;;
100;102.910602911;101.767151767;101.660287174;104.078989126;0.106864593;;;;;
100;96.1425179843;96.6601810036;96.7672836972;100.355223934;0.1071026936;;;;;
100;100.211253257;100.243423804;100.35065896;100.883260235;0.107235156;;;;;
100;99.6982151012;99.3269402585;99.4361387416;100.22236782;0.1091984831;;;;;
100;99.7380616563;100.125931896;100.015111828;101.049432467;0.110820068;;;;;
100;98.212086608;97.6455968294;97.5347618728;99.0700312726;0.1108349566;;;;;
100;100.564871123;100.508892903;100.396936465;102.31885533;0.111956438;;;;;
100;99.733957305;100.070517341;99.9583306622;100.862234759;0.1121866788;;;;;
100;104.692636736;102.280948936;102.166711092;98.1760024371;0.114237844;;;;;
100;101.485499687;104.652618402;104.76736908;99.7068641769;0.114750678;;;;;
100;98.2348369354;99.7638477864;99.8789346247;99.4131069461;0.1150868383;;;;;
100;96.616320537;99.6622613803;99.5468848332;102.723585763;0.1153765471;;;;;
100;106.59050037;102.052258542;102.168623717;97.0679502098;0.116365175;;;;;
100;98.320164492;98.4365503239;98.320164492;101.800962985;0.1163858319;;;;;
100;98.1272712804;98.6378949044;98.7546088756;98.7886504505;0.1167139712;;;;;
100;104.083636267;98.5671451694;98.6838963038;95.9597031691;0.1167511344;;;;;
100;99.7696713147;102.127205464;102.009817871;101.434292592;0.117387593;;;;;
100;99.4088285603;99.6989126847;99.8189474948;100.70753852;0.1200348101;;;;;
100;101.348179685;100.327493041;100.207412259;100.387533432;0.120080782;;;;;
100;99.4665921435;99.6938068796;99.5735167252;100.402182234;0.1202901544;;;;;
100;97.4772686753;102.290960956;102.411303263;102.799072919;0.120342307;;;;;
100;101.402363411;100.76044934;100.880808228;101.586245046;0.120358888;;;;;
100;92.3831898823;98.3971544001;98.2763920604;102.124685286;0.1207623397;;;;;
